constituency_code,constituency_name,district_code,district_name
95,LABWOR COUNTY,70,ABIM
239,ADJUMANI EAST COUNTY,40,ADJUMANI
151,ADJUMANI WEST COUNTY,40,ADJUMANI
89,AGAGO COUNTY,111,AGAGO
240,AGAGO NORTH COUNTY,111,AGAGO
216,AJURI COUNTY,88,ALEBTONG
103,MOROTO COUNTY,88,ALEBTONG
102,KIOGA COUNTY,57,AMOLATAR
149,UPE COUNTY,81,AMUDAT
199,AMURIA COUNTY,58,AMURIA
202,KAPELEBYONG COUNTY,58,AMURIA
276,ORUNGO COUNTY,58,AMURIA
24,KILAK COUNTY,71,AMURU
265,KILAK NORTH COUNTY,71,AMURU
2,KWANIA COUNTY,1,APAC
3,MARUZI COUNTY,1,APAC
13,ARUA MUNICIPALITY,2,ARUA
7,AYIVU COUNTY,2,ARUA
269,LOWER MADI COUNTY,2,ARUA
11,TEREGO COUNTY,2,ARUA
279,TEREGO EAST COUNTY,2,ARUA
9,UPPER MADI COUNTY,2,ARUA
12,VURRA COUNTY,2,ARUA
187,BUDAKA COUNTY,72,BUDAKA
238,IKI‐IKI COUNTY,72,BUDAKA
270,LUTSESHE COUNTY,78,BUDUDA
133,MANJIYA COUNTY,78,BUDUDA
31,BUKOOLI COUNTY CENTRAL,41,BUGIRI
32,BUKOOLI COUNTY NORTH,41,BUGIRI
16,BUHWEJU COUNTY,109,BUHWEJU
172,BUIKWE COUNTY NORTH,82,BUIKWE
174,BUIKWE COUNTY SOUTH,82,BUIKWE
173,LUGAZI MUNICIPALITY,82,BUIKWE
96,BUKEDEA COUNTY,79,BUKEDEA
257,KACHUMBALA COUNTY,79,BUKEDEA
111,COUNTY,98,BUKOMANSIMBI
74,KONGASIS COUNTY,59,BUKWO
130,BULAMBULI COUNTY,89,BULAMBULI
253,ELGON COUNTY,89,BULAMBULI
123,BULIISA COUNTY,73,BULIISA
215,BUGHENDERA COUNTY,3,BUNDIBUGYO
14,BWAMBA COUNTY,3,BUNDIBUGYO
18,IGARA COUNTY EAST,4,BUSHENYI
19,IGARA COUNTY WEST,4,BUSHENYI
225,MUNICIPALITY,4,BUSHENYI
226,BUSIA MUNICIPALITY,42,BUSIA
211,NORTH,42,BUSIA
212,SOUTH,42,BUSIA
208,BUNYOLE EAST COUNTY,60,BUTALEJA
236,BUNYOLE WEST COUNTY,60,BUTALEJA
157,BUTAMBALA COUNTY,99,BUTAMBALA
175,BUVUMA ISLANDS COUNTY,90,BUVUMA
217,BUDIOPE EAST COUNTY,83,BUYENDE
69,BUDIOPE WEST COUNTY,83,BUYENDE
99,DOKOLO COUNTY,74,DOKOLO
252,DOKOLO SOUTH COUNTY,74,DOKOLO
158,GOMBA EAST COUNTY,91,GOMBA
254,GOMBA WEST COUNTY,91,GOMBA
23,ASWA COUNTY,5,GULU
27,GULU MUNICIPALITY,5,GULU
26,OMORO COUNTY,5,GULU
28,BUGAHYA COUNTY,6,HOIMA
29,BUHAGUZI COUNTY,6,HOIMA
227,HOIMA MUNICIPALITY,6,HOIMA
264,KIGOROBYA COUNTY,6,HOIMA
136,IBANDA COUNTY NORTH,61,IBANDA
137,IBANDA COUNTY SOUTH,61,IBANDA
30,BUGWERI COUNTY,7,IGANGA
228,IGANGA MUNICIPALITY,7,IGANGA
38,KIGULU COUNTY NORTH,7,IGANGA
39,KIGULU COUNTY SOUTH,7,IGANGA
135,BUKANGA COUNTY,62,ISINGIRO
138,ISINGIRO COUNTY NORTH,62,ISINGIRO
139,ISINGIRO COUNTY SOUTH,62,ISINGIRO
41,BUTEMBE COUNTY,8,JINJA
43,JINJA MUNICIPALITY EAST,8,JINJA
44,JINJA MUNICIPALITY WEST,8,JINJA
42,KAGOMA COUNTY,8,JINJA
93,DODOTH EAST COUNTY,63,KAABONG
237,DODOTH WEST COUNTY,63,KAABONG
50,KABALE MUNICIPALITY,9,KABALE
45,NDORWA COUNTY EAST,9,KABALE
46,NDORWA COUNTY WEST,9,KABALE
47,RUBANDA COUNTY EAST,9,KABALE
48,RUBANDA COUNTY WEST,9,KABALE
49,RUKIGA COUNTY,9,KABALE
51,BUNYANGABU COUNTY,10,KABAROLE
52,BURAHYA COUNTY,10,KABAROLE
58,FORT PORTAL MUNICIPALITY,10,KABAROLE
200,KABERAMAIDO COUNTY,54,KABERAMAIDO
201,KALAKI COUNTY,54,KABERAMAIDO
59,BUJUMBA COUNTY,11,KALANGALA
60,KYAMUSWA COUNTY,11,KALANGALA
72,BULAMOGI COUNTY,64,KALIRO
117,KALUNGU EAST COUNTY,100,KALUNGU
118,KALUNGU WEST COUNTY,100,KALUNGU
61,KAMPALA CENTRAL DIVISION,12,KAMPALA
62,KAWEMPE DIVISION NORTH,12,KAMPALA
63,KAWEMPE DIVISION SOUTH,12,KAMPALA
64,MAKINDYE DIVISION EAST,12,KAMPALA
65,MAKINDYE DIVISION WEST,12,KAMPALA
68,NAKAWA DIVISION,12,KAMPALA
66,RUBAGA DIVISION NORTH,12,KAMPALA
67,RUBAGA DIVISION SOUTH,12,KAMPALA
70,BUGABULA COUNTY NORTH,13,KAMULI
71,BUGABULA COUNTY SOUTH,13,KAMULI
73,BUZAAYA COUNTY,13,KAMULI
282,KAMULI MUNICIPALITY,13,KAMULI
53,KIBALE COUNTY,46,KAMWENGE
262,KIBALE EAST COUNTY,46,KAMWENGE
54,KITAGWENDA COUNTY,46,KAMWENGE
195,KINKIZI COUNTY EAST,55,KANUNGU
196,KINKIZI COUNTY WEST,55,KANUNGU
283,KAPCHORWA MUNICIPALITY,14,KAPCHORWA
76,TINGEY COUNTY,14,KAPCHORWA
78,BUKONJO COUNTY WEST,15,KASESE
77,BUKONZO COUNTY  EAST,15,KASESE
79,BUSONGORA COUNTY NORTH,15,KASESE
80,BUSONGORA COUNTY SOUTH,15,KASESE
229,KASESE MUNICIPALITY,15,KASESE
224,TOROMA COUNTY,43,KATAKWI
206,USUK COUNTY,43,KATAKWI
171,BBALE COUNTY,47,KAYUNGA
179,NTENJERU COUNTY NORTH,47,KAYUNGA
180,NTENJERU COUNTY SOUTH,47,KAYUNGA
219,BUGANGAIZI EAST COUNTY,16,KIBAALE
81,BUGANGAIZI WEST COUNTY,16,KIBAALE
82,BUYAGA EAST COUNTY,16,KIBAALE
220,BUYAGA WEST COUNTY,16,KIBAALE
83,BUYANJA COUNTY,16,KIBAALE
84,KIBOGA  EAST COUNTY,17,KIBOGA
256,KABWERI COUNTY,102,KIBUKU
189,KIBUKU COUNTY,102,KIBUKU
260,KASHONGI COUNTY,65,KIRUHURA
141,KAZO COUNTY,65,KIRUHURA
142,NYABUSHOZI COUNTY,65,KIRUHURA
263,KIBANDA NORTH COUNTY,92,KIRYANDONGO
125,KIBANDA SOUTH COUNTY,92,KIRYANDONGO
86,BUFUMBIRA COUNTY EAST,18,KISORO
87,BUFUMBIRA COUNTY NORTH,18,KISORO
88,BUFUMBIRA COUNTY SOUTH,18,KISORO
285,KISORO MUNICIPALITY,18,KISORO
250,CHUA EAST COUNTY,19,KITGUM
91,CHUA WEST COUNTY,19,KITGUM
286,KITGUM MUNICIPALITY,19,KITGUM
8,KOBOKO COUNTY,66,KOBOKO
287,KOBOKO MUNICIPALITY,66,KOBOKO
266,KOBOKO NORTH COUNTY,66,KOBOKO
1,KOLE COUNTY,103,KOLE
267,KOLE NORTH COUNTY,103,KOLE
94,JIE COUNTY,20,KOTIDO
258,KANYUM COUNTY,21,KUMI
97,KUMI COUNTY,21,KUMI
288,KUMI MUNICIPALITY,21,KUMI
75,KWEEN COUNTY,104,KWEEN
248,BUTEMBA COUNTY,93,KYANKWANZI
85,NTWETWE COUNTY,93,KYANKWANZI
55,KYAKA COUNTY,84,KYEGEGWA
268,KYAKA SOUTH COUNTY,84,KYEGEGWA
274,MWENGE CENTRAL COUNTY,48,KYENJOJO
56,MWENGE COUNTY NORTH,48,KYENJOJO
57,MWENGE COUNTY SOUTH,48,KYENJOJO
92,LAMWO COUNTY,85,LAMWO
100,ERUTE COUNTY NORTH,22,LIRA
101,ERUTE COUNTY SOUTH,22,LIRA
105,LIRA MUNICIPALITY,22,LIRA
40,LUUKA NORTH COUNTY,94,LUUKA
271,LUUKA SOUTH COUNTY,94,LUUKA
110,BAMUNANIKA COUNTY,23,LUWEERO
107,KATIKAMU COUNTY NORTH,23,LUWEERO
108,KATIKAMU COUNTY SOUTH,23,LUWEERO
112,BUKOTO COUNTY MID‐WEST,105,LWENGO
113,BUKOTO COUNTY WEST,105,LWENGO
115,BUKOTO COUNTYSOUTH,105,LWENGO
191,KABULA COUNTY,80,LYANTONDE
127,BUBULO COUNTY EAST,67,MANAFWA
126,BUBULO COUNTY WEST,67,MANAFWA
10,MARACHA COUNTY,77,MARACHA
272,MARACHA EAST COUNTY,77,MARACHA
116,BUKOTO COUNTY CENTRAL,24,MASAKA
114,BUKOTO COUNTY EAST,24,MASAKA
121,MASAKA MUNICIPALITY,24,MASAKA
122,BUJENJE COUNTY,25,MASINDI
124,BURULI COUNTY,25,MASINDI
230,MASINDI MUNICIPALITY,25,MASINDI
34,BUNYA COUNTY EAST,49,MAYUGE
35,BUNYA COUNTY SOUTH,49,MAYUGE
36,BUNYA COUNTY WEST,49,MAYUGE
131,BUNGOKHO COUNTY NORTH,26,MBALE
132,BUNGOKHO COUNTY SOUTH,26,MBALE
134,MBALE MUNICIPALITY,26,MBALE
140,KASHARI NORTH COUNTY,27,MBARARA
259,KASHARI SOUTH COUNTY,27,MBARARA
144,MBARARA MUNICIPALITY,27,MBARARA
143,RWAMPARA COUNTY,27,MBARARA
20,RUHINDA COUNTY,106,MITOOMA
277,RUHINDA NORTH COUNTY,106,MITOOMA
165,BUSUJJU COUNTY,68,MITYANA
169,MITYANA COUNTY NORTH,68,MITYANA
170,MITYANA COUNTY SOUTH,68,MITYANA
