district_code,district_name
70,ABIM
40,ADJUMANI
111,AGAGO
88,ALEBTONG
57,AMOLATAR
81,AMUDAT
58,AMURIA
71,AMURU
1,APAC
2,ARUA
72,BUDAKA
78,BUDUDA
41,BUGIRI
109,BUHWEJU
82,BUIKWE
79,BUKEDEA
98,BUKOMANSIMBI
59,BUKWO
89,BULAMBULI
73,BULIISA
3,BUNDIBUGYO
4,BUSHENYI
42,BUSIA
60,BUTALEJA
99,BUTAMBALA
90,BUVUMA
83,BUYENDE
74,DOKOLO
91,GOMBA
5,GULU
6,HOIMA
61,IBANDA
7,IGANGA
62,ISINGIRO
8,JINJA
63,KAABONG
9,KABALE
10,KABAROLE
54,KABERAMAIDO
11,KALANGALA
64,KALIRO
100,KALUNGU
12,KAMPALA
13,KAMULI
46,KAMWENGE
55,KANUNGU
14,KAPCHORWA
15,KASESE
43,KATAKWI
47,KAYUNGA
16,KIBAALE
17,KIBOGA
102,KIBUKU
65,KIRUHURA
92,KIRYANDONGO
18,KISORO
19,KITGUM
66,KOBOKO
103,KOLE
20,KOTIDO
21,KUMI
104,KWEEN
93,KYANKWANZI
84,KYEGEGWA
48,KYENJOJO
85,LAMWO
22,LIRA
94,LUUKA
23,LUWEERO
105,LWENGO
80,LYANTONDE
67,MANAFWA
77,MARACHA
24,MASAKA
25,MASINDI
49,MAYUGE
26,MBALE
27,MBARARA
106,MITOOMA
68,MITYANA
28,MOROTO
29,MOYO
30,MPIGI
31,MUBENDE
32,MUKONO
56,NAKAPIRIPIRIT
69,NAKASEKE
44,NAKASONGOLA
95,NAMAYINGO
75,NAMUTUMBA
107,NAPAK
33,NEBBI
108,NGORA
96,NTOROKO
34,NTUNGAMO
110,NWOYA
86,OTUKE
76,OYAM
50,PADER
35,PALLISA
36,RAKAI
112,RUBIRIZI
37,RUKUNGIRI
97,SERERE
101,SHEEMA
51,SIRONKO
38,SOROTI
45,SSEMBABULE
39,TORORO
52,WAKISO
53,YUMBE
87,ZOMBO
