district_code,district_name,region_code,region_name
70,ABIM,3,NORTHERN
40,ADJUMANI,3,NORTHERN
111,AGAGO,3,NORTHERN
88,ALEBTONG,3,NORTHERN
57,AMOLATAR,3,NORTHERN
81,AMUDAT,3,NORTHERN
58,AMURIA,2,EASTERN
71,AMURU,3,NORTHERN
1,APAC,3,NORTHERN
2,ARUA,3,NORTHERN
136,ARUA CITY,3,NORTHERN
72,BUDAKA,2,EASTERN
78,BUDUDA,2,EASTERN
41,BUGIRI,2,EASTERN
123,BUGWERI,2,EASTERN
109,BUHWEJU,4,WESTERN
82,BUIKWE,1,CENTRAL
79,BUKEDEA,2,EASTERN
98,BUKOMANSIMBI,1,CENTRAL
59,BUKWO,2,EASTERN
89,BULAMBULI,2,EASTERN
73,BULIISA,4,WESTERN
3,BUNDIBUGYO,4,WESTERN
117,BUNYANGABU,4,WESTERN
4,BUSHENYI,4,WESTERN
42,BUSIA,2,EASTERN
60,BUTALEJA,2,EASTERN
99,BUTAMBALA,1,CENTRAL
118,BUTEBO,2,EASTERN
90,BUVUMA,1,CENTRAL
83,BUYENDE,2,EASTERN
74,DOKOLO,3,NORTHERN
139,FORT PORTAL CITY,4,WESTERN
91,GOMBA,1,CENTRAL
5,GULU,3,NORTHERN
137,GULU CITY,3,NORTHERN
6,HOIMA,4,WESTERN
145,HOIMA CITY,4,WESTERN
61,IBANDA,4,WESTERN
7,IGANGA,2,EASTERN
62,ISINGIRO,4,WESTERN
8,JINJA,2,EASTERN
138,JINJA CITY,2,EASTERN
63,KAABONG,3,NORTHERN
9,KABALE,4,WESTERN
10,KABAROLE,4,WESTERN
54,KABERAMAIDO,2,EASTERN
113,KAGADI,4,WESTERN
114,KAKUMIRO,4,WESTERN
129,KALAKI,2,EASTERN
11,KALANGALA,1,CENTRAL
64,KALIRO,2,EASTERN
100,KALUNGU,1,CENTRAL
12,KAMPALA,1,CENTRAL
13,KAMULI,2,EASTERN
46,KAMWENGE,4,WESTERN
55,KANUNGU,4,WESTERN
14,KAPCHORWA,2,EASTERN
124,KAPELEBYONG,2,EASTERN
130,KARENGA,3,NORTHERN
15,KASESE,4,WESTERN
125,KASSANDA,1,CENTRAL
43,KATAKWI,2,EASTERN
47,KAYUNGA,1,CENTRAL
131,KAZO,4,WESTERN
16,KIBAALE,4,WESTERN
17,KIBOGA,1,CENTRAL
102,KIBUKU,2,EASTERN
126,KIKUUBE,4,WESTERN
65,KIRUHURA,4,WESTERN
92,KIRYANDONGO,4,WESTERN
18,KISORO,4,WESTERN
132,KITAGWENDA,4,WESTERN
19,KITGUM,3,NORTHERN
66,KOBOKO,3,NORTHERN
103,KOLE,3,NORTHERN
20,KOTIDO,3,NORTHERN
21,KUMI,2,EASTERN
127,KWANIA,3,NORTHERN
104,KWEEN,2,EASTERN
93,KYANKWANZI,1,CENTRAL
84,KYEGEGWA,4,WESTERN
48,KYENJOJO,4,WESTERN
119,KYOTERA,1,CENTRAL
85,LAMWO,3,NORTHERN
22,LIRA,3,NORTHERN
144,LIRA CITY,3,NORTHERN
94,LUUKA,2,EASTERN
23,LUWEERO,1,CENTRAL
105,LWENGO,1,CENTRAL
80,LYANTONDE,1,CENTRAL
133,MADI-OKOLLO,3,NORTHERN
67,MANAFWA,2,EASTERN
77,MARACHA,3,NORTHERN
24,MASAKA,1,CENTRAL
141,MASAKA CITY,1,CENTRAL
25,MASINDI,4,WESTERN
49,MAYUGE,2,EASTERN
26,MBALE,2,EASTERN
142,MBALE CITY,2,EASTERN
27,MBARARA,4,WESTERN
140,MBARARA CITY,4,WESTERN
106,MITOOMA,4,WESTERN
68,MITYANA,1,CENTRAL
28,MOROTO,3,NORTHERN
29,MOYO,3,NORTHERN
30,MPIGI,1,CENTRAL
31,MUBENDE,1,CENTRAL
32,MUKONO,1,CENTRAL
128,NABILATUK,3,NORTHERN
56,NAKAPIRIPIRIT,3,NORTHERN
69,NAKASEKE,1,CENTRAL
44,NAKASONGOLA,1,CENTRAL
95,NAMAYINGO,2,EASTERN
120,NAMISINDWA,2,EASTERN
75,NAMUTUMBA,2,EASTERN
107,NAPAK,3,NORTHERN
33,NEBBI,3,NORTHERN
108,NGORA,2,EASTERN
96,NTOROKO,4,WESTERN
34,NTUNGAMO,4,WESTERN
110,NWOYA,3,NORTHERN
134,OBONGI,3,NORTHERN
115,OMORO,3,NORTHERN
86,OTUKE,3,NORTHERN
76,OYAM,3,NORTHERN
50,PADER,3,NORTHERN
121,PAKWACH,3,NORTHERN
35,PALLISA,2,EASTERN
36,RAKAI,1,CENTRAL
116,RUBANDA,4,WESTERN
112,RUBIRIZI,4,WESTERN
122,RUKIGA,4,WESTERN
37,RUKUNGIRI,4,WESTERN
135,RWAMPARA,4,WESTERN
97,SERERE,2,EASTERN
101,SHEEMA,4,WESTERN
51,SIRONKO,2,EASTERN
38,SOROTI,2,EASTERN
146,SOROTI CITY,2,EASTERN
45,SSEMBABULE,1,CENTRAL
143,TEREGO,3,NORTHERN
39,TORORO,2,EASTERN
52,WAKISO,1,CENTRAL
53,YUMBE,3,NORTHERN
87,ZOMBO,3,NORTHERN
