DISTRICT CODE;DISTRICT NAME;EA CODE;EA NAME;SCOUNTY CODE;SCOUNTY NAME;PARISH CODE;PARISH NAME;PS CODE;PS NAME;REGISTERED VOTERS;ABED BWANIKA;BESIGYE KIFEFE KIZZA;BETI OLIVE KAMYA NAMISANGO;BIDANDI? SSALI JABERI;MAO NORBERT;OLARA OTUNNU;"SAMUEL LUBEGA MUKAAKU
WALTER";YOWERI MUSEVENI KAGUTA;VALID;INVALID;SPOILT
1;APAC;3;"MARUZI
COUNTY";3;"APAC TOWN
COUNCIL";12;"EASTERN
WARD";3;"APAC MODEL
P.7";557;2;92;4;0;3;50;3;161;315;11;0
1;APAC;3;"MARUZI
COUNTY";3;"APAC TOWN
COUNCIL";13;"WESTERN
WARD";1;"AROCHA P.7
SCHOOL A";786;2;96;8;0;5;91;1;224;427;10;0
1;APAC;3;"MARUZI
COUNTY";4;CHEGERE;18;TEBOKE;1;"TEBOKE P.7
SCHOOL";858;0;84;4;0;1;99;0;384;572;0;5
1;APAC;3;"MARUZI
COUNTY";4;CHEGERE;26;ILEE;2;"ILEE  P  7
SCHOOL";559;2;41;9;0;1;23;4;296;376;20;0
1;APAC;3;"MARUZI
COUNTY";5;IBUJE;19;AGANGA;4;IGOTI;436;3;91;1;0;0;49;0;175;319;9;1
1;APAC;2;"KWANIA
COUNTY";1;ADUKU;2;ALIRA;1;ALIRA B;690;2;82;3;0;1;60;2;259;409;9;0
1;APAC;2;"KWANIA
COUNTY";1;ADUKU;7;ONGOCENG;1;AKWON;537;3;104;0;0;3;18;3;189;320;15;0
1;APAC;2;"KWANIA
COUNTY";1;ADUKU;25;APIRE;3;ACUT;550;1;92;2;0;2;44;3;226;370;37;0
1;APAC;2;"KWANIA
COUNTY";4;NAMBIESO;12;ANWANGI;1;AYAT A;790;?;?;?;?;?;?;?;?;;;
1;APAC;2;"KWANIA
COUNTY";3;INOMO;23;AJOK;1;ONGICA;829;10;141;3;0;3;47;3;317;524;15;0
1;APAC;2;"KWANIA
COUNTY";3;INOMO;24;INOMO;3;BARETEK;531;3;94;0;0;4;25;2;198;326;21;1
1;APAC;2;"KWANIA
COUNTY";3;INOMO;29;ALUKA;2;"ALIK P.7
SCHOOL";430;2;55;4;0;1;21;0;158;241;6;1
1;APAC;2;"KWANIA
COUNTY";2;CAWENTE;17;ACENLWORO;2;"ADAKINGO
MARKET";1.025;6;131;2;0;2;30;10;494;675;14;0
1;APAC;3;"MARUZI
COUNTY";1;AKOKORO;1;AYAGO;3;"AYAGO  P  7
SCHOOL";691;2;20;1;0;2;91;2;373;491;14;1
1;APAC;3;"MARUZI
COUNTY";2;APAC;8;ATOPI;2;"ALAYEC
MARKET";602;4;87;3;0;6;110;3;149;362;9;2
