
,District,Constituency,Scounty,Parish,,POLLING STATION,VOTERS
No.,,,,,,,
1,32 MUKONO,231 MUKONO MUNICIPALITY,01 GOMA DIVISION,05 SEETA WARD,31 GOSHEN LAND [NAK-Z],,823
2,32 MUKONO,176 MUKONO COUNTY NORTH,02 KYAMPISI,14 KYABAKADDE,08 KASALA,,412
3,32 MUKONO,176 MUKONO COUNTY NORTH,02 KYAMPISI,16 NTONTO,05 KASENENE,,419
4,32 MUKONO,176 MUKONO COUNTY NORTH,04 NAMA,20 NAMAWOJJOLO,07 NAMAWOJJOLO ISLAMIC P/S [N-Z],,933
5,32 MUKONO,176 MUKONO COUNTY NORTH,04 NAMA,20 NAMAWOJJOLO,08 NAMAWOJJOLO WEST [N-Z],,757
,,062 KAWEMPE DIVISION,,,,,
6,12 KAMPALA,NORTH,01 KAWEMPE DIVISION,01 BWAISE I,26 EXCEL PR. SCH.(KI-M),,851
,,062 KAWEMPE DIVISION,,,,,
7,12 KAMPALA,NORTH,01 KAWEMPE DIVISION,01 BWAISE I,27 EXCEL PR. SCH.(N-NAL),,794
8,03 BUNDIBUGYO,014 BWAMBA COUNTY,11 BUSUNGA TOWN COUNCIL,31 LAMIA WARD,05 RUTOOBO SDA CHURCH,,139
9,119 KYOTERA,194 KYOTERA COUNTY,04 KIRUMBA,24 BYERIMA,01 KAMPUNGU P/SCHOOL,,853
10,119 KYOTERA,194 KYOTERA COUNTY,07 NABIGASA,35 KYASSIMBI,01 KATTENJU PLAYGROUND,,604
11,119 KYOTERA,194 KYOTERA COUNTY,07 NABIGASA,35 KYASSIMBI,02 BULYANA MOSQUE (A-M),,341
12,119 KYOTERA,194 KYOTERA COUNTY,01 KABIRA,03 KYANIKA,04 BBANDA PRI. SCH,,752
,,273 MAWOGOLA NORTH,,,,,
13,45 SSEMBABULE,COUNTY,01 LUGUSULU,19 KAIRASYA,03 KIZAANO PENTECOSTAL CHURCH,,182
,,273 MAWOGOLA NORTH,,,,,
14,45 SSEMBABULE,COUNTY,01 LUGUSULU,22 MWITSI,04 NYAKATABO,,226
15,36 RAKAI,249 BUYAMBA COUNTY,06 LWAMAGGWA,25 KIBUUKA,01 KIBUUKA P/SCHOOL,,469
16,36 RAKAI,249 BUYAMBA COUNTY,06 LWAMAGGWA,25 KIBUUKA,02 KYANIKA CATHOLIC CHURCH,,564
17,32 MUKONO,176 MUKONO COUNTY NORTH,04 NAMA,20 NAMAWOJJOLO,04 BWEFULUMYA EAST-AT FOREST HILL,,501
18,12 KAMPALA,067 RUBAGA DIVISION SOUTH,01 RUBAGA DIVISION,07 NDEEBA,22 LATE,J.B. KASAJJA' S PLACE[N-Z],770
,,,Page 1 of 5,,,,
,,Presidential Election Nullified Polling Stations 2021,,,,,
,District,Constituency,Scounty,Parish,POLLING STATION,,VOTERS
No.,,,,,,,
,,111 BUKOMANSIMBI NORTH,05 BUKOMANSIMBI TOWN,,,,
19,98 BUKOMANSIMBI,COUNTY,COUNCIL,08 KISAGAZI WARD,01 KIBAATI,,754
,,062 KAWEMPE DIVISION,,,,,
20,12 KAMPALA,NORTH,01 KAWEMPE DIVISION,08 KYEBANDO,30 LCI MEETING PLACE (NANT - Z),,"1,185"
,,062 KAWEMPE DIVISION,,,,,
21,12 KAMPALA,NORTH,01 KAWEMPE DIVISION,08 KYEBANDO,10 SERINA PR. SCHOOL (L -NABU),,862
22,32 MUKONO,176 MUKONO COUNTY NORTH,02 KYAMPISI,14 KYABAKADDE,03 NAMANGANGA,,364
23,32 MUKONO,176 MUKONO COUNTY NORTH,04 NAMA,20 NAMAWOJJOLO,02 NAMAWOJJOLO ISLAMIC P/S [A-M],,725
24,32 MUKONO,176 MUKONO COUNTY NORTH,02 KYAMPISI,14 KYABAKADDE,02 KYAMPISI SUBCOUNTY HQTRS,[A-NAJ],481
,,063 KAWEMPE DIVISION,,,,,
25,12 KAMPALA,SOUTH,01 KAWEMPE DIVISION,02 BWAISE III,03 LORD'S HARVEST CHURCH,,695
,,063 KAWEMPE DIVISION,,,,,
26,12 KAMPALA,SOUTH,01 KAWEMPE DIVISION,01 BWAISE II,12 UMARU NYAGO PARKING YARD (A-M),,662
,,111 BUKOMANSIMBI NORTH,,,,,
27,98 BUKOMANSIMBI,COUNTY,04 KITANDA,16 GAYAAZA,02 MIREMBE PRIMARY SCHOOL,,767
,,062 KAWEMPE DIVISION,,,,,
28,12 KAMPALA,NORTH,01 KAWEMPE DIVISION,05 KAWEMPE II,02 MPERERWE PRI. SCHOOL (A-K),,"1,145"
29,103 KOLE,001 KOLE SOUTH COUNTY,05 BALA,27 OMUGE,04 TEITEK CENTRE,,701
30,32 MUKONO,176 MUKONO COUNTY NORTH,04 NAMA,07 KASENGE,03 MBALALA S.S.S COMPOUND [A-M].,,499
,,063 KAWEMPE DIVISION,,,,,
31,12 KAMPALA,SOUTH,01 KAWEMPE DIVISION,02 BWAISE III,14 ST. FRANCIS NURSERY SCH. (O-Z),,474
32,52 WAKISO,160 NANSANA MUNICIPALITY,02 BUSUKUMA DIVISION,14 KABUUMBA,02 KABUUMBA-KITAWULUZI,,771
33,45 SSEMBABULE,119 LWEMIYAGA COUNTY,01 LWEMIYAGA,09 KAMPALA,01 BUGOROGORO,,732
34,12 KAMPALA,067 RUBAGA DIVISION SOUTH,01 RUBAGA DIVISION,07 NDEEBA,13 B.M.K. (A-M),,"1,139"
35,12 KAMPALA,067 RUBAGA DIVISION SOUTH,01 RUBAGA DIVISION,07 NDEEBA,21 B.M.K. (N-Z),,"1,087"
,,062 KAWEMPE DIVISION,,,14 KISALOSALO (KIT-MUGE)-KYEBANDO,,
36,12 KAMPALA,NORTH,01 KAWEMPE DIVISION,08 KYEBANDO,VOC. TRAINING CTRE,,"1,195"
,,,Page 2 of 5,,,,
,,Presidential Election Nullified Polling Stations 2021,,,,,
,District,Constituency,Scounty,Parish,,POLLING STATION,VOTERS
No.,,,,,,,
,,062 KAWEMPE DIVISION,,,26 KISALOSALO (SSE-Z)-CLEVELAND,,
37,12 KAMPALA,NORTH,01 KAWEMPE DIVISION,08 KYEBANDO,PRI.SCH,,"1,111"
38,80 LYANTONDE,191 KABULA COUNTY,02 KASAGAMA,07 KATEBE,03 KATAMCHUBA,,228
,,063 KAWEMPE DIVISION,,,,,
39,12 KAMPALA,SOUTH,01 KAWEMPE DIVISION,02 BWAISE III,04 LC MEETING PLACE,(A-L),"1,134"
,,063 KAWEMPE DIVISION,,,,,
40,12 KAMPALA,SOUTH,01 KAWEMPE DIVISION,02 BWAISE III,08 LC MEETING PLACE,(NAL-NAM),411
,,062 KAWEMPE DIVISION,,,,,
41,12 KAMPALA,NORTH,01 KAWEMPE DIVISION,08 KYEBANDO,19 LCI MEETING PLACE (KIT-NAI),,"1,156"
42,32 MUKONO,176 MUKONO COUNTY NORTH,04 NAMA,20 NAMAWOJJOLO,05 BULIGOBE KITAWULUZI,,719
43,12 KAMPALA,067 RUBAGA DIVISION SOUTH,01 RUBAGA DIVISION,07 NDEEBA,02 LATE,J.B. KASAJJA' S PLACE[A-M],592
,,062 KAWEMPE DIVISION,,,,,
44,12 KAMPALA,NORTH,01 KAWEMPE DIVISION,05 KAWEMPE II,13 SEBAMBA'S COMPOUND (NAMU-Z),,"1,306"
,,062 KAWEMPE DIVISION,,,28 KYEBANDO PROGRESSIVE P. SCH. (N -,,
45,12 KAMPALA,NORTH,01 KAWEMPE DIVISION,08 KYEBANDO,NAM),,906
,,062 KAWEMPE DIVISION,,,11 NAMWANDU NKOYOOYO'S HOME (KI-,,
46,12 KAMPALA,NORTH,01 KAWEMPE DIVISION,05 KAWEMPE II,NABUK),,"1,252"
,,062 KAWEMPE DIVISION,,,19 NAMWANDU NKOYOOYO'S HOME,,
47,12 KAMPALA,NORTH,01 KAWEMPE DIVISION,05 KAWEMPE II,(NANSO-Z),,"1,275"
,,322 MAWOGOLA WEST,,,,,
48,45 SSEMBABULE,COUNTY,02 LWEBITAKULI,12 LWEMBOGO,08 MISEENYI,,670
49,32 MUKONO,176 MUKONO COUNTY NORTH,02 KYAMPISI,14 KYABAKADDE,06 KYAMPISI SUBCOUNTY HQTRS,[NAK-Z],547
,,062 KAWEMPE DIVISION,,,,,
50,12 KAMPALA,NORTH,01 KAWEMPE DIVISION,08 KYEBANDO,02 SERINA PR. SCHOOL (A - K),,"1,177"
51,32 MUKONO,176 MUKONO COUNTY NORTH,02 KYAMPISI,15 DDUNDU,01 KALAGALA,,967
,,111 BUKOMANSIMBI NORTH,,,,,
52,98 BUKOMANSIMBI,COUNTY,01 BIGASA,04 MBIRIZI,01 BIGASA SUBCOUNTY PLAY GROUND,,881
53,32 MUKONO,176 MUKONO COUNTY NORTH,02 KYAMPISI,12 BULIJJO,04 NKONGE CHURCH,,537
,,063 KAWEMPE DIVISION,,,,,
54,12 KAMPALA,SOUTH,01 KAWEMPE DIVISION,02 BWAISE III,01 ST. JAMES CHURCH (A-M),,924
,,,Page 3 of 5,,,,
,,Presidential Election Nullified Polling Stations 2021,,,,,
,District,Constituency,,Scounty,Parish,POLLING STATION,VOTERS
No.,,,,,,,
,,043 JINJA SOUTH DIVISION,,,,01 MASESE I (A-D)-LAKESIDE MAIN,
55,138 JINJA CITY,EAST,,01 JINJA SOUTH DIVISION,03 MASESE WARD,PLAYGROUND SOUTH,670
,,043 JINJA SOUTH DIVISION,,,,07 MASESE III (J-MAK)-BETHEL PRIMARY,
56,138 JINJA CITY,EAST,,01 JINJA SOUTH DIVISION,03 MASESE WARD,SCHOOL,574
,,043 JINJA SOUTH DIVISION,,,,,
57,138 JINJA CITY,EAST,,01 JINJA SOUTH DIVISION,04 WALUKUBA EAST WARD,06 ALL SAINTS NURSERY SCH.(N-Z),414
58,32 MUKONO,176 MUKONO COUNTY NORTH,,04 NAMA,07 KASENGE,02 MBALALA PARENTS [A-M],563
59,62 ISINGIRO,325 ISINGIRO WEST COUNTY,,06 RUHIIRA TOWN COUNCIL,26 MIGYERA WARD,03 KAKONI C.O.U,312
60,36 RAKAI,249 BUYAMBA COUNTY,,06 LWAMAGGWA,25 KIBUUKA,03 LWOYO P/SCHOOL,711
61,45 SSEMBABULE,119 LWEMIYAGA COUNTY,,02 BULONGO,19 KABUKONGOTE,04 KABUKONGOTE PRI SCH,583
62,45 SSEMBABULE,119 LWEMIYAGA COUNTY,,04 NABITANGA,06 KYAMBOGO,02 NSOZI A,491
63,45 SSEMBABULE,119 LWEMIYAGA COUNTY,,04 NABITANGA,11 KABAALE,01 KABAALE,574
,,273 MAWOGOLA NORTH,,,,,
64,45 SSEMBABULE,COUNTY,,01 LUGUSULU,14 MBUYA,07 MBUYE/KATIKAMU,408
,,273 MAWOGOLA NORTH,,,,,
65,45 SSEMBABULE,COUNTY,,02 KAWANDA,07 KYABI,06 NKOMA,436
66,45 SSEMBABULE,119 LWEMIYAGA COUNTY,,03 KYEERA,10 LUBAALE,04 KAKINGA C.O.U,318
,,273 MAWOGOLA NORTH,,,,,
67,45 SSEMBABULE,COUNTY,,06 MITIMA,17 MITIMA,02 MITIMA,597
68,51 SIRONKO,129 BUDADIRI COUNTY,WEST,10 MAFUDU,49 BUNGWANYI,01 BUNGWANYI C/U,337
69,20 KOTIDO,094 JIE COUNTY,,03 KAMOR,37 NAADOI,04 KARUKADONG,207
70,38 SOROTI,251 DAKABELA COUNTY,,05 KATINE,10 OIMAI,03 OLEL,588
71,85 LAMWO,092 LAMWO COUNTY,,02 LOKUNG,57 PAWOR WEST,01 LATIDA CENTRE,573
72,32 MUKONO,176 MUKONO COUNTY NORTH,,04 NAMA,07 KASENGE,08 MBALALA S.S.S COMPOUND [N-Z].,628
,,,,Page 4 of 5,,,
,,Presidential Election Nullified Polling Stations 2021,,,,,
,District,Constituency,Scounty,Parish,POLLING STATION,,VOTERS
No.,,,,,,,
73,85 LAMWO,092 LAMWO COUNTY,17 LOKUNG EAST,58 GOTKWAR,03 AWENO - OLUI MARKET,,330
,,111 BUKOMANSIMBI NORTH,05 BUKOMANSIMBI TOWN,,,,
74,98 BUKOMANSIMBI,COUNTY,COUNCIL,08 KISAGAZI WARD,02 KIRYASAKA HOPE PRI SCHOOL,,390
75,119 KYOTERA,194 KYOTERA COUNTY,07 NABIGASA,35 KYASSIMBI,03 BULYANA MOSQUE (N-Z),,696
76,45 SSEMBABULE,119 LWEMIYAGA COUNTY,02 BULONGO,05 BULONGO,08 KYATTUBA B,,318
,,,,,01 MADDU TOWN COUNCIL HQTRS,(A-,
77,91 GOMBA,254 GOMBA WEST COUNTY,05 MADDU TOWN COUNCIL,26 MADDU WARD A,M),,632
78,32 MUKONO,176 MUKONO COUNTY NORTH,04 NAMA,20 NAMAWOJJOLO,09 BWEFULUMYA WEST-AT FOREST HILL,,359
,,273 MAWOGOLA NORTH,,,,,
79,45 SSEMBABULE,COUNTY,01 LUGUSULU,14 MBUYA,02 MBUYA MOSLEM,,478
,,273 MAWOGOLA NORTH,,,,,
80,45 SSEMBABULE,COUNTY,06 MITIMA,10 LWENTALE,02 KAGANGO N-Z,,513
,,273 MAWOGOLA NORTH,,,,,
81,45 SSEMBABULE,COUNTY,02 KAWANDA,08 LUTUNKU,01 KABULASOKE,,123
,,,,,02 LUBANYI PRIMARY SCHOOL FRONT,,
82,08 JINJA,042 KAGOMA COUNTY,06 NAMAGERA TOWN COUNCIL,25 LUBANYI WARD,YARD,,754
83,08 JINJA,042 KAGOMA COUNTY,06 NAMAGERA TOWN COUNCIL,25 LUBANYI WARD,04 LUBANYI TECHNICAL,,359
,,,,,,,"54,357"
,,,Page 5 of 5,,,,
