district_code,district_name,constituency_code,constituency_name,subcounty_code,subcounty_name,parish_code,parish_name,polling_station_code,polling_station_name,voters
32,MUKONO,231,MUKONO MUNICIPALITY,1,GOMA DIVISION,5,SEETA WARD,31,GOSHEN LAND [NAK-Z],823
32,MUKONO,176,MUKONO COUNTY NORTH,2,KYAMPISI,14,KYABAKADDE,8,KASALA,412
32,MUKONO,176,MUKONO COUNTY NORTH,2,KYAMPISI,16,NTONTO,5,KASENENE,419
32,MUKONO,176,MUKONO COUNTY NORTH,4,NAMA,20,NAMAWOJJOLO,7,NAMAWOJJOLO ISLAMIC P/S [N-Z],933
32,MUKONO,176,MUKONO COUNTY NORTH,4,NAMA,20,NAMAWOJJOLO,8,NAMAWOJJOLO WEST [N-Z],757
12,KAMPALA,62,KAWEMPE DIVISION NORTH,1,KAWEMPE DIVISION,1,BWAISE I,26,EXCEL PR. SCH.(KI-M),851
12,KAMPALA,62,KAWEMPE DIVISION NORTH,1,KAWEMPE DIVISION,1,BWAISE I,27,EXCEL PR. SCH.(N-NAL),794
3,BUNDIBUGYO,14,BWAMBA COUNTY,11,BUSUNGA TOWN COUNCIL,31,LAMIA WARD,5,RUTOOBO SDA CHURCH,139
119,KYOTERA,194,KYOTERA COUNTY,4,KIRUMBA,24,BYERIMA,1,KAMPUNGU P/SCHOOL,853
119,KYOTERA,194,KYOTERA COUNTY,7,NABIGASA,35,KYASSIMBI,1,KATTENJU PLAYGROUND,604
119,KYOTERA,194,KYOTERA COUNTY,7,NABIGASA,35,KYASSIMBI,2,BULYANA MOSQUE (A-M),341
119,KYOTERA,194,KYOTERA COUNTY,1,KABIRA,3,KYANIKA,4,BBANDA PRI. SCH,752
45,SSEMBABULE,273,MAWOGOLA NORTH COUNTY,1,LUGUSULU,19,KAIRASYA,3,KIZAANO PENTECOSTAL CHURCH,182
45,SSEMBABULE,273,MAWOGOLA NORTH COUNTY,1,LUGUSULU,22,MWITSI,4,NYAKATABO,226
36,RAKAI,249,BUYAMBA COUNTY,6,LWAMAGGWA,25,KIBUUKA,1,KIBUUKA P/SCHOOL,469
36,RAKAI,249,BUYAMBA COUNTY,6,LWAMAGGWA,25,KIBUUKA,2,KYANIKA CATHOLIC CHURCH,564
32,MUKONO,176,MUKONO COUNTY NORTH,4,NAMA,20,NAMAWOJJOLO,4,BWEFULUMYA EAST-AT FOREST HILL,501
12,KAMPALA,67,RUBAGA DIVISION SOUTH,1,RUBAGA DIVISION,7,NDEEBA,22,LATE  J.B. KASAJJA' S PLACE[N-Z],770
98,BUKOMANSIMBI,111,BUKOMANSIMBI NORTH COUNTY,5,BUKOMANSIMBI TOWN COUNCIL,8,KISAGAZI WARD,1,KIBAATI,754
12,KAMPALA,62,KAWEMPE DIVISION NORTH,1,KAWEMPE DIVISION,8,KYEBANDO,30,LCI MEETING PLACE (NANT - Z),"1,185"
