subcounty_pk,subcounty_code,subcounty_name,district_code,district_name,constituency_code, constituency_name
SC70-1,1,ABIM,70,ABIM,95,LABWOR COUNTY
SC70-6,6,ABIM TOWN COUNCIL,70,ABIM,95,LABWOR COUNTY
SC70-13,13,ABUK TOWN COUNCIL,70,ABIM,95,LABWOR COUNTY
SC70-2,2,ALEREK,70,ABIM,95,LABWOR COUNTY
SC70-14,14,ALEREK TOWN COUNCIL,70,ABIM,95,LABWOR COUNTY
SC70-12,12,ATUNGA,70,ABIM,95,LABWOR COUNTY
SC70-7,7,AWACH,70,ABIM,95,LABWOR COUNTY
SC70-10,10,CAMKOK,70,ABIM,95,LABWOR COUNTY
SC70-9,9,KIRU TOWN COUNCIL,70,ABIM,95,LABWOR COUNTY
SC70-3,3,LOTUKEI,70,ABIM,95,LABWOR COUNTY
SC70-8,8,MAGAMAGA,70,ABIM,95,LABWOR COUNTY
SC70-4,4,MORULEM,70,ABIM,95,LABWOR COUNTY
SC70-15,15,MORULEM TOWN COUNCIL,70,ABIM,95,LABWOR COUNTY
SC70-5,5,NYAKWAE,70,ABIM,95,LABWOR COUNTY
SC70-11,11,OPOPONGO,70,ABIM,95,LABWOR COUNTY
SC70-16,16,ORWAMUGE TOWN COUNCIL,70,ABIM,95,LABWOR COUNTY
SC40-1,1,ADJUMANI TOWN COUNCIL,40,ADJUMANI,151,ADJUMANI WEST COUNTY
SC40-2,2,ADROPI,40,ADJUMANI,151,ADJUMANI WEST COUNTY
SC40-7,7,ARINYAPI,40,ADJUMANI,239,ADJUMANI EAST COUNTY
SC40-3,3,CIFORO,40,ADJUMANI,151,ADJUMANI WEST COUNTY
SC40-4,4,DZAIPI,40,ADJUMANI,239,ADJUMANI EAST COUNTY
SC40-8,8,ITIRIKWA,40,ADJUMANI,239,ADJUMANI EAST COUNTY
SC40-5,5,OFUA,40,ADJUMANI,239,ADJUMANI EAST COUNTY
SC40-9,9,PACHARA,40,ADJUMANI,151,ADJUMANI WEST COUNTY
SC40-6,6,PAKELE,40,ADJUMANI,239,ADJUMANI EAST COUNTY
SC40-1,1,PAKELE TOWN COUNCIL,40,ADJUMANI,239,ADJUMANI EAST COUNTY
SC40-10,10,UKUSIJONI,40,ADJUMANI,151,ADJUMANI WEST COUNTY
SC111-1,1,ADILANG,111,AGAGO,89,AGAGO COUNTY
SC111-2,2,ADILANG TOWN COUNCIL,111,AGAGO,89,AGAGO COUNTY
SC111-16,16,AGAGO TOWN COUNCIL,111,AGAGO,89,AGAGO COUNTY
SC111-6,6,AGENGO,111,AGAGO,303,AGAGO WEST COUNTY
SC111-7,7,AJALI,111,AGAGO,89,AGAGO COUNTY
SC111-11,11,ARUM,111,AGAGO,303,AGAGO WEST COUNTY
SC111-9,9,GEREGERE,111,AGAGO,303,AGAGO WEST COUNTY
SC111-10,10,KALONGO TOWN COUNCIL,111,AGAGO,240,AGAGO NORTH COUNTY
SC111-12,12,KOTOMOR,111,AGAGO,89,AGAGO COUNTY
SC111-4,4,KUYWEE,111,AGAGO,240,AGAGO NORTH COUNTY
SC111-3,3,LAI-MUTTO TOWN COUNCIL,111,AGAGO,240,AGAGO NORTH COUNTY
SC111-13,13,LAMIYO,111,AGAGO,303,AGAGO WEST COUNTY
SC111-10,10,LAPEREBONG,111,AGAGO,89,AGAGO COUNTY
SC111-2,2,LAPONO,111,AGAGO,240,AGAGO NORTH COUNTY
SC111-5,5,LIRA KATO,111,AGAGO,240,AGAGO NORTH COUNTY
SC111-3,3,LIRA-PALWO,111,AGAGO,303,AGAGO WEST COUNTY
SC111-17,17,LIRA-PALWO TOWN COUNCIL,111,AGAGO,303,AGAGO WEST COUNTY
SC111-4,4,LOKOLE,111,AGAGO,89,AGAGO COUNTY
SC111-14,14,OMIYA PACWA,111,AGAGO,240,AGAGO NORTH COUNTY
SC111-5,5,OMOT,111,AGAGO,303,AGAGO WEST COUNTY
SC111-6,6,PAIMOL,111,AGAGO,240,AGAGO NORTH COUNTY
SC111-7,7,PARABONGO,111,AGAGO,240,AGAGO NORTH COUNTY
SC111-8,8,PATONGO,111,AGAGO,89,AGAGO COUNTY
SC111-15,15,PATONGO TOWN COUNCIL,111,AGAGO,89,AGAGO COUNTY
SC111-9,9,WOL,111,AGAGO,240,AGAGO NORTH COUNTY
SC111-1,1,WOL TOWN COUNCIL,111,AGAGO,240,AGAGO NORTH COUNTY
SC88-4,4,ABAKO,88,ALEBTONG,216,AJURI COUNTY
SC88-6,6,ABIA,88,ALEBTONG,103,MOROTO COUNTY
SC88-3,3,ADWIR,88,ALEBTONG,216,AJURI COUNTY
SC88-7,7,AKURA,88,ALEBTONG,103,MOROTO COUNTY
SC88-2,2,ALEBTONG TOWN COUNCIL,88,ALEBTONG,103,MOROTO COUNTY
SC88-3,3,ALOI,88,ALEBTONG,103,MOROTO COUNTY
SC88-8,8,ALOI TOWN COUNCIL,88,ALEBTONG,103,MOROTO COUNTY
SC88-2,2,AMUGU,88,ALEBTONG,216,AJURI COUNTY
SC88-1,1,AMUGU TOWN COUNCIL,88,ALEBTONG,216,AJURI COUNTY
SC88-6,6,ANGETTA,88,ALEBTONG,216,AJURI COUNTY
SC88-1,1,APALA,88,ALEBTONG,103,MOROTO COUNTY
SC88-4,4,APALA TOWN COUNCIL,88,ALEBTONG,103,MOROTO COUNTY
SC88-8,8,AWEI,88,ALEBTONG,216,AJURI COUNTY
SC88-5,5,OMORO,88,ALEBTONG,216,AJURI COUNTY
SC57-13,13,ABEJA,57,AMOLATAR,319,KIOGA NORTH COUNTY
SC57-14,14,ACII,57,AMOLATAR,102,KIOGA COUNTY
SC57-6,6,AGIKDAK,57,AMOLATAR,319,KIOGA NORTH COUNTY
SC57-7,7,AGWINGIRI,57,AMOLATAR,102,KIOGA COUNTY
SC57-8,8,AKWON,57,AMOLATAR,319,KIOGA NORTH COUNTY
SC57-5,5,AMOLATAR TOWN COUNCIL,57,AMOLATAR,102,KIOGA COUNTY
SC57-3,3,APUTI,57,AMOLATAR,319,KIOGA NORTH COUNTY
SC57-9,9,ARWOTCEK,57,AMOLATAR,319,KIOGA NORTH COUNTY
SC57-4,4,AWELLO,57,AMOLATAR,319,KIOGA NORTH COUNTY
SC57-10,10,ETAM,57,AMOLATAR,319,KIOGA NORTH COUNTY
SC57-12,12,ETAM TOWN COUNCIL,57,AMOLATAR,319,KIOGA NORTH COUNTY
SC57-2,2,MUNTU,57,AMOLATAR,102,KIOGA COUNTY
SC57-15,15,NALUBWOYO,57,AMOLATAR,102,KIOGA COUNTY
SC57-1,1,NAMASALE,57,AMOLATAR,102,KIOGA COUNTY
SC57-11,11,NAMASALE TOWN COUNCIL,57,AMOLATAR,102,KIOGA COUNTY
SC57-16,16,OPALI,57,AMOLATAR,319,KIOGA NORTH COUNTY
SC81-5,5,ABILIYEP,81,AMUDAT,149,UPE COUNTY
SC81-6,6,ACHORICHOR,81,AMUDAT,149,UPE COUNTY
SC81-1,1,AMUDAT,81,AMUDAT,149,UPE COUNTY
SC81-4,4,AMUDAT TOWN COUNCIL,81,AMUDAT,149,UPE COUNTY
SC81-2,2,KARITA,81,AMUDAT,149,UPE COUNTY
SC81-11,11,KARITA TOWN COUNCIL,81,AMUDAT,149,UPE COUNTY
SC81-7,7,KATABOK,81,AMUDAT,149,UPE COUNTY
SC81-8,8,KONGOROK,81,AMUDAT,149,UPE COUNTY
SC81-9,9,LOKALES,81,AMUDAT,149,UPE COUNTY
SC81-3,3,LOROO,81,AMUDAT,149,UPE COUNTY
SC81-10,10,LOSIDOK,81,AMUDAT,149,UPE COUNTY
SC58-1,1,ABARILELA,58,AMURIA,199,AMURIA COUNTY
SC58-4,4,ABIA,58,AMURIA,199,AMURIA COUNTY
SC58-8,8,AKERIAU,58,AMURIA,276,ORUNGO COUNTY
SC58-6,6,AMOLO,58,AMURIA,199,AMURIA COUNTY
SC58-7,7,AMURIA TOWN COUNCIL,58,AMURIA,199,AMURIA COUNTY
SC58-9,9,APEDURU,58,AMURIA,199,AMURIA COUNTY
SC58-2,2,ASAMUK,58,AMURIA,199,AMURIA COUNTY
SC58-8,8,ASAMUK TOWN COUNCIL,58,AMURIA,199,AMURIA COUNTY
SC58-3,3,KUJU,58,AMURIA,199,AMURIA COUNTY
SC58-6,6,MORUNGATUNY,58,AMURIA,276,ORUNGO COUNTY
SC58-10,10,OGOLAI,58,AMURIA,276,ORUNGO COUNTY
SC58-1,1,OGONGORA,58,AMURIA,276,ORUNGO COUNTY
SC58-2,2,OLWA,58,AMURIA,276,ORUNGO COUNTY
SC58-4,4,ORUNGO,58,AMURIA,276,ORUNGO COUNTY
SC58-3,3,ORUNGO TOWN COUNCIL,58,AMURIA,276,ORUNGO COUNTY
SC58-5,5,WERA,58,AMURIA,199,AMURIA COUNTY
SC58-10,10,WERA TOWN COUNCIL,58,AMURIA,199,AMURIA COUNTY
SC58-11,11,WILLA,58,AMURIA,199,AMURIA COUNTY
SC71-1,1,AMURU,71,AMURU,24,KILAK SOUTH COUNTY
SC71-5,5,AMURU TOWN COUNCIL,71,AMURU,24,KILAK SOUTH COUNTY
SC71-2,2,ATIAK,71,AMURU,265,KILAK NORTH COUNTY
SC71-3,3,ATIAK TOWN COUNCIL,71,AMURU,265,KILAK NORTH COUNTY
SC71-1,1,ELEGU TOWN COUNCIL,71,AMURU,265,KILAK NORTH COUNTY
SC71-6,6,GURU GURU,71,AMURU,24,KILAK SOUTH COUNTY
SC71-2,2,LAKANG,71,AMURU,24,KILAK SOUTH COUNTY
SC71-3,3,LAMOGI,71,AMURU,24,KILAK SOUTH COUNTY
SC71-4,4,LAYIMA,71,AMURU,24,KILAK SOUTH COUNTY
SC71-6,6,OPARA,71,AMURU,265,KILAK NORTH COUNTY
SC71-4,4,PABBO,71,AMURU,265,KILAK NORTH COUNTY
SC71-5,5,PABBO TOWN COUNCIL,71,AMURU,265,KILAK NORTH COUNTY
SC71-7,7,POGO,71,AMURU,265,KILAK NORTH COUNTY
SC1-3,3,AGULLU DIVISION,1,APAC,291,APAC MUNICIPALITY
SC1-2,2,AKERE DIVISION,1,APAC,291,APAC MUNICIPALITY
SC1-1,1,AKOKORO,1,APAC,3,MARUZI COUNTY
SC1-3,3,AKOKORO TOWN COUNCIL,1,APAC,3,MARUZI COUNTY
SC1-2,2,APAC,1,APAC,340,MARUZI NORTH COUNTY
SC1-8,8,APOI,1,APAC,3,MARUZI COUNTY
SC1-4,4,AROCHA DIVISION,1,APAC,291,APAC MUNICIPALITY
SC1-1,1,ATIK DIVISION,1,APAC,291,APAC MUNICIPALITY
SC1-4,4,CHEGERE,1,APAC,340,MARUZI NORTH COUNTY
SC1-5,5,IBUJE,1,APAC,3,MARUZI COUNTY
SC1-6,6,IBUJE TOWN COUNCIL,1,APAC,3,MARUZI COUNTY
SC1-7,7,TE-BOKE,1,APAC,340,MARUZI NORTH COUNTY
SC2-1,1,AJIA,2,ARUA,12,VURRA COUNTY
SC2-2,2,ARIVU,2,ARUA,12,VURRA COUNTY
SC2-3,3,LOGIRI,2,ARUA,12,VURRA COUNTY
SC2-4,4,VURRA,2,ARUA,12,VURRA COUNTY
SC136-1,1,ARUA CENTRAL DIVISION,136,ARUA CITY,13,ARUA CENTRAL DIVISION
SC136-1,1,AYIVU DIVISION,136,ARUA CITY,7,AYIVU DIVISION EAST
SC72-1,1,BUDAKA,72,BUDAKA,187,BUDAKA COUNTY
SC72-8,8,BUDAKA TOWN COUNCIL,72,BUDAKA,187,BUDAKA COUNTY
SC72-2,2,IKI-IKI,72,BUDAKA,238,IKI-IKI COUNTY
SC72-6,6,IKI-IKI TOWN COUNCIL,72,BUDAKA,238,IKI-IKI COUNTY
SC72-2,2,KABUNA,72,BUDAKA,187,BUDAKA COUNTY
SC72-9,9,KACHOMO,72,BUDAKA,187,BUDAKA COUNTY
SC72-7,7,KACHOMO TOWN COUNCIL,72,BUDAKA,187,BUDAKA COUNTY
SC72-3,3,KADERUNA,72,BUDAKA,187,BUDAKA COUNTY
SC72-1,1,KADIMUKOLI,72,BUDAKA,238,IKI-IKI COUNTY
SC72-3,3,KAKOLI,72,BUDAKA,238,IKI-IKI COUNTY
SC72-10,10,KAKULE,72,BUDAKA,187,BUDAKA COUNTY
SC72-7,7,KAMERUKA,72,BUDAKA,238,IKI-IKI COUNTY
SC72-4,4,KAMONKOLI,72,BUDAKA,238,IKI-IKI COUNTY
SC72-5,5,KAMONKOLI TOWN COUNCIL,72,BUDAKA,238,IKI-IKI COUNTY
SC72-11,11,KATIRA,72,BUDAKA,238,IKI-IKI COUNTY
SC72-5,5,LYAMA TOWN COUNCIL,72,BUDAKA,187,BUDAKA COUNTY
SC72-12,12,MUGITI,72,BUDAKA,238,IKI-IKI COUNTY
SC72-6,6,NABOA TOWN COUNCIL,72,BUDAKA,187,BUDAKA COUNTY
SC72-13,13,NANSANGA,72,BUDAKA,187,BUDAKA COUNTY
SC72-4,4,TADEMERI,72,BUDAKA,187,BUDAKA COUNTY
SC78-1,1,BUBIITA,78,BUDUDA,270,LUTSESHE COUNTY
SC78-2,2,BUDUDA,78,BUDUDA,133,MANJIYA COUNTY
SC78-8,8,BUDUDA TOWN COUNCIL,78,BUDUDA,133,MANJIYA COUNTY
SC78-3,3,BUFUMA,78,BUDUDA,270,LUTSESHE COUNTY
SC78-9,9,BUKALASI,78,BUDUDA,270,LUTSESHE COUNTY
SC78-9,9,BUKIBINO,78,BUDUDA,133,MANJIYA COUNTY
SC78-3,3,BUKIBOKOLO,78,BUDUDA,133,MANJIYA COUNTY
SC78-4,4,BUKIGAI,78,BUDUDA,336,BUSHIGAI COUNTY
SC78-17,17,BUKIGAI TOWN COUNCIL,78,BUDUDA,336,BUSHIGAI COUNTY
SC78-5,5,BULUCHEKE,78,BUDUDA,270,LUTSESHE COUNTY
SC78-10,10,BUMASHETI,78,BUDUDA,133,MANJIYA COUNTY
SC78-6,6,BUMAYOKA,78,BUDUDA,270,LUTSESHE COUNTY
SC78-7,7,BUMWALUKANI,78,BUDUDA,270,LUTSESHE COUNTY
