id,district_code,district_name,constituency_code, constituency_name,subcounty_code,subcounty_name,parish_code,parish_name,polling_station_code,polling_station_name,total_voters
11400,12,KAMPALA,062,KAWEMPE DIVISION NORTH,01,KAWEMPE DIVISION,06,KAZO-ANGOLA,24,MATHEL NURSERY SCHOOL (NAMUI-S),1827
33291,52,WAKISO,154,BUSIRO COUNTY EAST,03,WAKISO TOWN COUNCIL,26,KISIMBIRI WARD,09,KISIMBIRI B [NAT -Z] KISIMBIRI C/U P/S,1559
33288,52,WAKISO,154,BUSIRO COUNTY EAST,03,WAKISO TOWN COUNCIL,26,KISIMBIRI WARD,06,KISIMBIRI B [NAL -NAS] KISIMBIRI C/U P/S,1534
11102,12,KAMPALA,063,KAWEMPE DIVISION SOUTH,01,KAWEMPE DIVISION,01,BWAISE II,13,JAMBULA [NABI-Z]- LC I OFFICE,1507
11816,12,KAMPALA,065,MAKINDYE DIVISION WEST,01,MAKINDYE DIVISION,08,MAKINDYE I,43,MILITARY BARACKS [A-L],1490
10934,12,KAMPALA,064,MAKINDYE DIVISION EAST,01,MAKINDYE DIVISION,02,BUKASA,01,LC I MEETING PLACE KIYEMBE - MUGALU,1489
33520,52,WAKISO,155,BUSIRO COUNTY NORTH,05,NAMAYUMBA TOWN COUNCIL,29,LUGUZI WARD,01,NAMAYUMBA S/C HQTRS (A-NAK),1485
32761,52,WAKISO,154,BUSIRO COUNTY EAST,02,WAKISO,14,BULOBA,07,BULOBA T/CENTRE [NAK - Z],1466
11344,12,KAMPALA,062,KAWEMPE DIVISION NORTH,01,KAWEMPE DIVISION,04,KAWEMPE I,02,KAWEMPE MBOGO MUSLIM S.S.S. (A-K),1464
11933,12,KAMPALA,063,KAWEMPE DIVISION SOUTH,02,MAKERERE UNIVERSITY,03,MULUKA I,01,C.C.E.,1462
11860,12,KAMPALA,068,NAKAWA DIVISION EAST,01,NAKAWA DIVISION,11,MBUYA I,60,MBUYA HILL[A-MAM],1461
11364,12,KAMPALA,062,KAWEMPE DIVISION NORTH,01,KAWEMPE DIVISION,04,KAWEMPE I,22,KAWEMPE MBOGO MUSLIM S.S.S. (NANTO-Z),1455
2804,123,BUGWERI,030,BUGWERI COUNTY,07,IDUDI TOWN COUNCIL,32,IDUDI A WARD,03,ST. THOMAS CHURCH COMPOUND,1441
11861,12,KAMPALA,068,NAKAWA DIVISION EAST,01,NAKAWA DIVISION,11,MBUYA I,61,MBUYA HILL[MAN-Z],1433
33053,52,WAKISO,154,BUSIRO COUNTY EAST,03,WAKISO TOWN COUNCIL,15,KASENGEJJE WARD,04,KASSENGEJJE PRI. SCH (NAM-Z),1428
12226,12,KAMPALA,065,MAKINDYE DIVISION WEST,01,MAKINDYE DIVISION,10,NSAMBYA CENTRAL,34,ST. AUGUSTINE & MUBIRU AT GOLDEN ANGELS PRI. SCH.,1412
33923,52,WAKISO,161,MAKINDYE-SSABAGABO MUNICIPALITY,03,NDEJJE DIVISION,07,NDEJJE WARD,02,LUBUGUMU UMEA (M-NAM),1403
11343,12,KAMPALA,062,KAWEMPE DIVISION NORTH,01,KAWEMPE DIVISION,04,KAWEMPE I,01,UCTU GROUND (A-L),1402
11347,12,KAMPALA,062,KAWEMPE DIVISION NORTH,01,KAWEMPE DIVISION,04,KAWEMPE I,05,UCTU GROUND (M-NAM),1401
28037,110,NWOYA,025,NWOYA COUNTY,02,ANAKA (PAYIRA),11,TODORA,01,AGUNG PRIMARY SCHOOL,1381
12137,12,KAMPALA,066,RUBAGA DIVISION NORTH,01,RUBAGA DIVISION,05,NAMIREMBE,08,SIR APOLLO PRI. SCH.- PARKING LOT,1371
34013,52,WAKISO,161,MAKINDYE-SSABAGABO MUNICIPALITY,03,NDEJJE DIVISION,03,SEGUKU WARD,15,SEGUKU ZONE 5 (A-K) - SEGUKU PRI. SCH.,1365
33106,52,WAKISO,160,NANSANA MUNICIPALITY,04,NANSANA DIVISION,22,KAZO WARD,11,SWAMADU PLAYGROUND,1364
11634,12,KAMPALA,066,RUBAGA DIVISION NORTH,01,RUBAGA DIVISION,02,LUBYA,02,MASANAFU C/U [A -KD],1364
11653,12,KAMPALA,066,RUBAGA DIVISION NORTH,01,RUBAGA DIVISION,02,LUBYA,21,MASANAFU C/U [KE-M],1363
12159,12,KAMPALA,067,RUBAGA DIVISION SOUTH,01,RUBAGA DIVISION,06,NATEETE,13,NANFUKA [ N-Z] - BEHIND SAMONA SHOPPING CENTRE,1362
11711,12,KAMPALA,066,RUBAGA DIVISION NORTH,01,RUBAGA DIVISION,03,LUNGUJJA,13,SENDAWULA [KIT-NAKH]-AT MAKAMBA-KALEMA T JUNCTION,1355
32919,52,WAKISO,164,ENTEBBE MUNICIPALITY,01,DIVISION A,03,CENTRAL,25,NSAMIZI - PEARL WORTH PRI/SCH (MAT-Z),1348
10984,12,KAMPALA,353,NAKAWA DIVISION WEST,01,NAKAWA DIVISION,03,BUKOTO I,20,MULIMIRA [NAW-SO] -EDEN PRIMARY SCHOOL,1345
33992,52,WAKISO,154,BUSIRO COUNTY EAST,01,KYENGERA TOWN COUNCIL,10,NSANGI WARD,07,NSANGI PRI. SCH. [NAM - Z],1341
11815,12,KAMPALA,065,MAKINDYE DIVISION WEST,01,MAKINDYE DIVISION,08,MAKINDYE I,42,WATER PUMP AT OPEN PLACE,1341
32944,52,WAKISO,154,BUSIRO COUNTY EAST,03,WAKISO TOWN COUNCIL,27,GOMBE WARD,01,KAYUNGA CHURCH OF UGANDA [A - M],1340
11352,12,KAMPALA,062,KAWEMPE DIVISION NORTH,01,KAWEMPE DIVISION,04,KAWEMPE I,10,KAWEMPE MBOGO MUSLIM S.S.S. (L-NAKAW),1336
11376,12,KAMPALA,062,KAWEMPE DIVISION NORTH,01,KAWEMPE DIVISION,05,KAWEMPE II,06,SEBAMBA'S COMPOUND (MAZ-NAMT),1334
12076,12,KAMPALA,067,RUBAGA DIVISION SOUTH,01,RUBAGA DIVISION,04,NAJJANANKUMBI II,06,KIVIRI (M-NAM),1326
32731,52,WAKISO,154,BUSIRO COUNTY EAST,02,WAKISO,13,BUKASA,06,KIGOMA SDA PRI. SCH.,1322
12265,12,KAMPALA,067,RUBAGA DIVISION SOUTH,01,RUBAGA DIVISION,08,RUBAGA,16,ST.BENEDICT PRIMARY SCH. (NAK-Z),1321
11177,12,KAMPALA,067,RUBAGA DIVISION SOUTH,01,RUBAGA DIVISION,02,KABOWA,11,TRINITY PRIMARY SCHOOL (M-NAMM),1321
11818,12,KAMPALA,065,MAKINDYE DIVISION WEST,01,MAKINDYE DIVISION,08,MAKINDYE I,45,MILITARY BARACKS [NAN-Z],1312
11387,12,KAMPALA,062,KAWEMPE DIVISION NORTH,01,KAWEMPE DIVISION,06,KAZO-ANGOLA,01,HOLY FAMILY PRI. SCH. (A-MH),1310
11789,12,KAMPALA,063,KAWEMPE DIVISION SOUTH,01,KAWEMPE DIVISION,09,MAKERERE III,03,LCI OPEN GROUNDS,1307
11383,12,KAMPALA,062,KAWEMPE DIVISION NORTH,01,KAWEMPE DIVISION,05,KAWEMPE II,13,SEBAMBA'S COMPOUND (NAMU-Z),1306
11115,12,KAMPALA,063,KAWEMPE DIVISION SOUTH,01,KAWEMPE DIVISION,02,BWAISE III,10,ST. JAMES CHURCH (N-Z),1305
33287,52,WAKISO,154,BUSIRO COUNTY EAST,03,WAKISO TOWN COUNCIL,26,KISIMBIRI WARD,05,KISIMBIRI B [N - NAK] KISIMBIRI C/U P/S,1304
32756,52,WAKISO,154,BUSIRO COUNTY EAST,02,WAKISO,14,BULOBA,02,BULOBA T/CENTRE [A - NAJ],1303
33566,52,WAKISO,160,NANSANA MUNICIPALITY,03,NABWERU DIVISION,21,MAGANJO,39,MAGANJO B C/U [O-Z],1302
11015,12,KAMPALA,067,RUBAGA DIVISION SOUTH,01,RUBAGA DIVISION,01,BUSEGA,04,NEW KABAALE BUSEGA HIGH. SCH. (A-M),1297
33033,52,WAKISO,154,BUSIRO COUNTY EAST,01,KYENGERA TOWN COUNCIL,03,KASENGE WARD,09,MUGONGO A [M-NAK]-MUGONGO PR. SCH.,1296
12300,12,KAMPALA,353,NAKAWA DIVISION WEST,01,NAKAWA DIVISION,22,UPK,01,UPK - MAIN HALL WEST- UNDER THE TREE,1296
11662,12,KAMPALA,066,RUBAGA DIVISION NORTH,01,RUBAGA DIVISION,02,LUBYA,30,MASANAFU C/U [N-NAL],1291
11375,12,KAMPALA,062,KAWEMPE DIVISION NORTH,01,KAWEMPE DIVISION,05,KAWEMPE II,05,SEBAMBA'S COMPOUND (A-MAY),1291
33563,52,WAKISO,160,NANSANA MUNICIPALITY,03,NABWERU DIVISION,21,MAGANJO,36,MAGANJO B C/U [NAK-NAL],1287
11306,12,KAMPALA,066,RUBAGA DIVISION NORTH,01,RUBAGA DIVISION,01,KASUBI,36,FAMILY PRI. SCH. COMPOUND [NAL-NC],1286
11803,12,KAMPALA,065,MAKINDYE DIVISION WEST,01,MAKINDYE DIVISION,08,MAKINDYE I,08,LUSAKA [L-NAL] AT GLORY JUN.SCH.,1284
10936,12,KAMPALA,064,MAKINDYE DIVISION EAST,01,MAKINDYE DIVISION,02,BUKASA,03,MUYENGA COMMUNITY HALL - MUYENGA HILL,1282
11398,12,KAMPALA,062,KAWEMPE DIVISION NORTH,01,KAWEMPE DIVISION,06,KAZO-ANGOLA,15,KAZO-ANGOLA (NT-Z)-AT BOSA'S ROAD,1281
33298,52,WAKISO,154,BUSIRO COUNTY EAST,01,KYENGERA TOWN COUNCIL,05,KISOZI WARD,07,ST. CHARLES LWANGA PRI. SCH [M - NAM],1277
11386,12,KAMPALA,062,KAWEMPE DIVISION NORTH,01,KAWEMPE DIVISION,05,KAWEMPE II,19,NAMWANDU NKOYOOYO'S HOME (NANSO-Z),1275
12211,12,KAMPALA,065,MAKINDYE DIVISION WEST,01,MAKINDYE DIVISION,10,NSAMBYA CENTRAL,15,CONVENT/KATABIRA LCI AT ST PAUL PR SCHOOL[A-M],1274
11273,12,KAMPALA,066,RUBAGA DIVISION NORTH,01,RUBAGA DIVISION,01,KASUBI,03,FAMILY PRI. SCH. COMPOUND [A-KD],1273
11114,12,KAMPALA,063,KAWEMPE DIVISION SOUTH,01,KAWEMPE DIVISION,02,BWAISE III,09,ST. FRANCIS NURSERY SCH. (N-N),1273
11667,12,KAMPALA,066,RUBAGA DIVISION NORTH,01,RUBAGA DIVISION,02,LUBYA,35,LUGALA - NAMUNGOONA-KIGOBE P/S [NAMAW -NW],1271
11658,12,KAMPALA,066,RUBAGA DIVISION NORTH,01,RUBAGA DIVISION,02,LUBYA,26,ST. JUDE PRI. SCH [NALUM-NANJ],1270
11637,12,KAMPALA,066,RUBAGA DIVISION NORTH,01,RUBAGA DIVISION,02,LUBYA,05,LUSAZE - LIMBO (A-L),1270
11714,12,KAMPALA,066,RUBAGA DIVISION NORTH,01,RUBAGA DIVISION,03,LUNGUJJA,17,SENDI'S COMPOUND (NAGI-Z),1268
33306,52,WAKISO,156,BUSIRO COUNTY SOUTH,02,KATABI TOWN COUNCIL,11,KISUBI WARD,01,ST. CHARLES LWANGA P/S KAWUKU (A-K),1267
12036,12,KAMPALA,353,NAKAWA DIVISION WEST,01,NAKAWA DIVISION,15,NAGURU II,10,SHELL GROUNDS [A-BE],1266
11382,12,KAMPALA,062,KAWEMPE DIVISION NORTH,01,KAWEMPE DIVISION,05,KAWEMPE II,12,NAMWANDU NKOYOOYO'S HOME (NABUL-NANSI),1262
11703,12,KAMPALA,066,RUBAGA DIVISION NORTH,01,RUBAGA DIVISION,03,LUNGUJJA,03,SENDI'S COMPOUND (A-NAGH),1261
11573,12,KAMPALA,062,KAWEMPE DIVISION NORTH,01,KAWEMPE DIVISION,03,KOMAMBOGA,06,KACUNGWA GROUND (LUM-NAL),1261
33762,52,WAKISO,154,BUSIRO COUNTY EAST,02,WAKISO,22,NAKABUGO,16,HOPE FOR NEW LIFE CHURCH [NAK-Z],1259
11435,12,KAMPALA,065,MAKINDYE DIVISION WEST,01,MAKINDYE DIVISION,04,KIBUYE I,11,NABISALU LC MEETING PLACE [NAL-NZ],1259
12135,12,KAMPALA,066,RUBAGA DIVISION NORTH,01,RUBAGA DIVISION,05,NAMIREMBE,06,SCHOOL FOR DISABLED,1258
33284,52,WAKISO,154,BUSIRO COUNTY EAST,03,WAKISO TOWN COUNCIL,26,KISIMBIRI WARD,02,KISIMBIRI B [K - K] WAKISO H/CENTRE,1257
10942,12,KAMPALA,064,MAKINDYE DIVISION EAST,01,MAKINDYE DIVISION,02,BUKASA,09,MUYENGA B AT DR. BASANGWA ROAD,1256
11655,12,KAMPALA,066,RUBAGA DIVISION NORTH,01,RUBAGA DIVISION,02,LUBYA,23,LUSAZE - LIMBO (NAMBI - Z),1254
11381,12,KAMPALA,062,KAWEMPE DIVISION NORTH,01,KAWEMPE DIVISION,05,KAWEMPE II,11,NAMWANDU NKOYOOYO'S HOME (KI-NABUK),1252
12264,12,KAMPALA,067,RUBAGA DIVISION SOUTH,01,RUBAGA DIVISION,08,RUBAGA,15,ST.BENEDICT PRIMARY SCH. (A-NAJ),1250
11645,12,KAMPALA,066,RUBAGA DIVISION NORTH,01,RUBAGA DIVISION,02,LUBYA,13,LUSAZE - LIMBO (M-NAMBE),1249
11548,12,KAMPALA,353,NAKAWA DIVISION WEST,01,NAKAWA DIVISION,07,KIWATULE,08,ST. MBAAGA KIWATULE PRI. SCH. [NANT-Z],1247
11281,12,KAMPALA,066,RUBAGA DIVISION NORTH,01,RUBAGA DIVISION,01,KASUBI,11,ZALWANGO'S COMPOUND [NAC-NAR],1247
12033,12,KAMPALA,353,NAKAWA DIVISION WEST,01,NAKAWA DIVISION,15,NAGURU II,07,KIBOKOS PLACE (C-MUM),1246
11660,12,KAMPALA,066,RUBAGA DIVISION NORTH,01,RUBAGA DIVISION,02,LUBYA,28,ROMAN CATHOLIC CHURCH [NAMBI-Z],1245
11567,12,KAMPALA,061,KAMPALA CENTRAL DIVISION,01,KAMPALA CENTRAL,13,KOLOLO IV,02,MANAGEMENT INSTITUTE,1245
33660,52,WAKISO,154,BUSIRO COUNTY EAST,03,WAKISO TOWN COUNCIL,29,MPUNGA WARD,05,ST. JUDE P/SCHOOL [N - NAM],1244
11640,12,KAMPALA,066,RUBAGA DIVISION NORTH,01,RUBAGA DIVISION,02,LUBYA,08,ST. JOHN BAPTIST C/U [A-J],1244
11717,12,KAMPALA,066,RUBAGA DIVISION NORTH,01,RUBAGA DIVISION,03,LUNGUJJA,20,YOUNGER PLAY GROUND [NAM-Z],1243
34081,52,WAKISO,160,NANSANA MUNICIPALITY,03,NABWERU DIVISION,25,WAMALA,15,LWAHEN PRI. SCH. - KISIMU (NAM-Z),1242
11959,12,KAMPALA,067,RUBAGA DIVISION SOUTH,01,RUBAGA DIVISION,03,MUTUNDWE,16,KABAAWO POLICE POST GROUND. (NAMU-R),1242
11357,12,KAMPALA,062,KAWEMPE DIVISION NORTH,01,KAWEMPE DIVISION,04,KAWEMPE I,15,KAWEMPE C/U PRIM. SCHOOL (KIN-NABA),1242
11955,12,KAMPALA,067,RUBAGA DIVISION SOUTH,01,RUBAGA DIVISION,03,MUTUNDWE,12,KABAAWO POLICE POST GROUND. (NAK-NAMT),1240
33866,52,WAKISO,160,NANSANA MUNICIPALITY,04,NANSANA DIVISION,28,NANSANA 7/8 OCHIENG WARD,02,WINDSOR PRIMARY SCHOOL [N-Z],1238
33280,52,WAKISO,160,NANSANA MUNICIPALITY,01,GOMBE DIVISION,05,KIRYAMULI WARD,02,KIGOGWA UMEA MOSLEM P/SCHOOL,1238
33126,52,WAKISO,164,ENTEBBE MUNICIPALITY,02,DIVISION B,01,KIGUNGU,08,ST. ANDREW'S C/U MAYANZI (N-Z),1236
12039,12,KAMPALA,353,NAKAWA DIVISION WEST,01,NAKAWA DIVISION,15,NAGURU II,13,SHELL GROUNDS [BI-LE],1236
11954,12,KAMPALA,067,RUBAGA DIVISION SOUTH,01,RUBAGA DIVISION,03,MUTUNDWE,11,KABAAWO POLICE POST GROUND. (M-NAJ),1236
11666,12,KAMPALA,066,RUBAGA DIVISION NORTH,01,RUBAGA DIVISION,02,LUBYA,34,LUGALA - NAMUNGOONA-KIGOBE P/S [NABI - NAMAV],1236
11368,12,KAMPALA,062,KAWEMPE DIVISION NORTH,01,KAWEMPE DIVISION,04,KAWEMPE I,27,UCTU GROUND (NAN-Z),1236
11346,12,KAMPALA,062,KAWEMPE DIVISION NORTH,01,KAWEMPE DIVISION,04,KAWEMPE I,04,KAWEMPE C/U PRIM. SCHOOL (A-KIM),1234
32909,52,WAKISO,164,ENTEBBE MUNICIPALITY,01,DIVISION A,03,CENTRAL,09,NSAMIZI - PEARL WORTH PRI/SCH (A-MAS),1231
11723,12,KAMPALA,065,MAKINDYE DIVISION WEST,01,MAKINDYE DIVISION,07,LUWAFU,03,NAKINYUGUZI [A-KIW] AT AMAZON PLAYGROUND,1229
11104,12,KAMPALA,063,KAWEMPE DIVISION SOUTH,01,KAWEMPE DIVISION,01,BWAISE II,18,NABUKALU [N-Z]- LC MEETING PLACE,1229
12172,12,KAMPALA,067,RUBAGA DIVISION SOUTH,01,RUBAGA DIVISION,07,NDEEBA,01,ST. LAWRENCE UNIVERSITY CAR PARK [A-KN],1228
34080,52,WAKISO,160,NANSANA MUNICIPALITY,03,NABWERU DIVISION,25,WAMALA,14,KATOOKE GROWERS B (NAM-Z),1227
11671,12,KAMPALA,066,RUBAGA DIVISION NORTH,01,RUBAGA DIVISION,02,LUBYA,39,NJOVU HOUSE COMPOUNDE [NAMB-NZ],1227
11394,12,KAMPALA,062,KAWEMPE DIVISION NORTH,01,KAWEMPE DIVISION,06,KAZO-ANGOLA,09,KAZO-ANGOLA (NAK-NAMH)- AT ARCADE,1227
11309,12,KAMPALA,066,RUBAGA DIVISION NORTH,01,RUBAGA DIVISION,01,KASUBI,41,FAMILY PRI. SCH. COMPOUND [ND-Z],1227
33038,52,WAKISO,154,BUSIRO COUNTY EAST,01,KYENGERA TOWN COUNCIL,03,KASENGE WARD,14,MUGONGO A [NAL-NZ]-MUGONGO PR. SCH.,1226
11963,12,KAMPALA,067,RUBAGA DIVISION SOUTH,01,RUBAGA DIVISION,03,MUTUNDWE,20,KITEBI PRI. SCH (NAMB-NI),1226
11317,12,KAMPALA,065,MAKINDYE DIVISION WEST,01,MAKINDYE DIVISION,02,KATWE I,06,HAJJI BATA'S RESIDENCE,1226
12042,12,KAMPALA,353,NAKAWA DIVISION WEST,01,NAKAWA DIVISION,15,NAGURU II,16,NAGURU KCCA OFFICE (KI-NAM),1225
11097,12,KAMPALA,063,KAWEMPE DIVISION SOUTH,01,KAWEMPE DIVISION,01,BWAISE II,08,KITI MOSQUE (N-Z),1225
33909,52,WAKISO,160,NANSANA MUNICIPALITY,04,NANSANA DIVISION,29,NANSANA WEST WARD,14,NANSANA WEST IIA (NAM-NZ) - NAKULE H/CENTRE II,1224
11390,12,KAMPALA,062,KAWEMPE DIVISION NORTH,01,KAWEMPE DIVISION,06,KAZO-ANGOLA,04,KAZO-ANGOLA (A-KAS)- AT LC I OFFICE,1224
11620,12,KAMPALA,062,KAWEMPE DIVISION NORTH,01,KAWEMPE DIVISION,08,KYEBANDO,23,KISALOSALO (NAK-NAMUT)-CLEVELAND PRI.SCH,1223
33722,52,WAKISO,160,NANSANA MUNICIPALITY,04,NANSANA DIVISION,26,NABWERU NORTH WARD,04,NABWERU NORTH II- (NAM-Z)- ATGOOD SAMARITAN PLAYGROUND,1222
28685,76,OYAM,005,OYAM COUNTY SOUTH,06,KAMDINI TOWN COUNCIL,29,WESTERN WARD,01,ST. THEREZA CATHOLIC CHURCH,1222
33849,52,WAKISO,154,BUSIRO COUNTY EAST,04,MENDE,23,NAMUSERA,02,GOLDEN HEARTS EDUCATION CENTRE,1221
11397,12,KAMPALA,062,KAWEMPE DIVISION NORTH,01,KAWEMPE DIVISION,06,KAZO-ANGOLA,13,KAZO-ANGOLA (NAMI-NS)- AT ARCADE,1220
11814,12,KAMPALA,065,MAKINDYE DIVISION WEST,01,MAKINDYE DIVISION,08,MAKINDYE I,41,MUBARAK [N-Z],1219
33645,52,WAKISO,154,BUSIRO COUNTY EAST,01,KYENGERA TOWN COUNCIL,07,MAYA WARD,05,MPIRINGISA,1218
12263,12,KAMPALA,067,RUBAGA DIVISION SOUTH,01,RUBAGA DIVISION,08,RUBAGA,14,KISITU' S HOME,1218
11546,12,KAMPALA,353,NAKAWA DIVISION WEST,01,NAKAWA DIVISION,07,KIWATULE,06,ST. MBAAGA KIWATULE PRI. SCH. [KATU-M],1218
33644,52,WAKISO,154,BUSIRO COUNTY EAST,01,KYENGERA TOWN COUNCIL,07,MAYA WARD,04,BUSEMBE,1216
33097,52,WAKISO,160,NANSANA MUNICIPALITY,03,NABWERU DIVISION,20,KAWANDA,10,VICTORY CHURCH [NAM-Z],1216
11000,12,KAMPALA,353,NAKAWA DIVISION WEST,01,NAKAWA DIVISION,04,BUKOTO II,13,BUKOTO MUSLIM PR / SCH [L-NAM],1216
33336,52,WAKISO,156,BUSIRO COUNTY SOUTH,02,KATABI TOWN COUNCIL,12,KITALA WARD,17,KITALA [O-Z]-KITALA PRI. SCH.,1215
12055,12,KAMPALA,353,NAKAWA DIVISION WEST,01,NAKAWA DIVISION,15,NAGURU II,30,SHELL GROUNDS [O-Z],1215
11668,12,KAMPALA,066,RUBAGA DIVISION NORTH,01,RUBAGA DIVISION,02,LUBYA,36,LUGALA - NAMUNGOONA-KIGOBE P/S [NY -Z],1215
32954,52,WAKISO,160,NANSANA MUNICIPALITY,02,BUSUKUMA DIVISION,13,GULUDDENE,01,GULUDDENE SCHOOL COMPOUND,1214
11610,12,KAMPALA,062,KAWEMPE DIVISION NORTH,01,KAWEMPE DIVISION,08,KYEBANDO,13,KISALOSALO (KAB-KIS)-KAMPALA HILL ACADEMY,1214
11022,12,KAMPALA,067,RUBAGA DIVISION SOUTH,01,RUBAGA DIVISION,01,BUSEGA,11,BUSEGA S.D.A. CHURCH (KI -M),1214
11651,12,KAMPALA,066,RUBAGA DIVISION NORTH,01,RUBAGA DIVISION,02,LUBYA,19,ST. JUDE PRI. SCH [NAK-NALUL],1213
11496,12,KAMPALA,061,KAMPALA CENTRAL DIVISION,01,KAMPALA CENTRAL,08,KISENYI II,04,LUVUMA,1213
11478,12,KAMPALA,062,KAWEMPE DIVISION NORTH,01,KAWEMPE DIVISION,07,KIKAYA,07,KAMPALA QUALITY P. SCH. (A-NABI),1213
10939,12,KAMPALA,064,MAKINDYE DIVISION EAST,01,MAKINDYE DIVISION,02,BUKASA,06,ST. HENRY'S PRIMARY SCHOOL,1213
11968,12,KAMPALA,067,RUBAGA DIVISION SOUTH,01,RUBAGA DIVISION,03,MUTUNDWE,25,MASANYALAZE PLAYGROUND (M-NAK),1212
11663,12,KAMPALA,066,RUBAGA DIVISION NORTH,01,RUBAGA DIVISION,02,LUBYA,31,LUGALA - NAMUNGOONA P/S [L - NABE],1212
12296,12,KAMPALA,065,MAKINDYE DIVISION WEST,01,MAKINDYE DIVISION,13,SALAAMA,21,KOSOVO [NAKAT-Z] AT LOVE WORKS CHURCH,1210
11701,12,KAMPALA,066,RUBAGA DIVISION NORTH,01,RUBAGA DIVISION,03,LUNGUJJA,01,BULANGE CHURCH OF UGANDA,1210
11351,12,KAMPALA,062,KAWEMPE DIVISION NORTH,01,KAWEMPE DIVISION,04,KAWEMPE I,09,TRIMPH PRIMARY SCHOOL (NABE-Z),1210
11345,12,KAMPALA,062,KAWEMPE DIVISION NORTH,01,KAWEMPE DIVISION,04,KAWEMPE I,03,KETI-FALAWO MEETING GROUNDS (A-KIS),1210
11134,12,KAMPALA,064,MAKINDYE DIVISION EAST,01,MAKINDYE DIVISION,03,GGABA,14,KAWUKU [NABAY-Z] AT KAWUKU PARENTS PRI. SCHOOL,1210
33552,52,WAKISO,160,NANSANA MUNICIPALITY,03,NABWERU DIVISION,21,MAGANJO,17,TTULA P/S (A-L),1209
11762,12,KAMPALA,068,NAKAWA DIVISION EAST,01,NAKAWA DIVISION,10,LUZIRA PRISONS,03,INFRONT OF MURCH. BAY PRISON,1209
10983,12,KAMPALA,353,NAKAWA DIVISION WEST,01,NAKAWA DIVISION,03,BUKOTO I,19,MULIMIRA [NAK-NAV],1209
12149,12,KAMPALA,067,RUBAGA DIVISION SOUTH,01,RUBAGA DIVISION,06,NATEETE,03,KIGAGGA [NAKAK-Z]-NEW POLICE BUILDING GROUND,1208
11956,12,KAMPALA,067,RUBAGA DIVISION SOUTH,01,RUBAGA DIVISION,03,MUTUNDWE,13,KITEBI PRI. SCH (KAT-MAW),1208
11832,12,KAMPALA,065,MAKINDYE DIVISION WEST,01,MAKINDYE DIVISION,09,MAKINDYE II,17,MADIRISA [NAN-Z] AT KASAAWE,1208
10184,114,KAKUMIRO,081,BUGANGAIZI WEST COUNTY,15,NYARWEYO TOWN COUNCIL,66,MASAKA WARD,01,MASAKA,1208
33101,52,WAKISO,160,NANSANA MUNICIPALITY,04,NANSANA DIVISION,22,KAZO WARD,05,KAZO CENTRAL II YUDESI PRI/SCH (A-NAKAV),1207
11628,12,KAMPALA,062,KAWEMPE DIVISION NORTH,01,KAWEMPE DIVISION,08,KYEBANDO,31,HORMISDALLEN (NAL - NZ),1207
11393,12,KAMPALA,062,KAWEMPE DIVISION NORTH,01,KAWEMPE DIVISION,06,KAZO-ANGOLA,08,KAZO-ANGOLA (MAL-NAJ)- AT LC I OFFICE,1206
33052,52,WAKISO,154,BUSIRO COUNTY EAST,03,WAKISO TOWN COUNCIL,15,KASENGEJJE WARD,03,KASSENGEJJE PRI. SCH (M-NAL),1205
12148,12,KAMPALA,067,RUBAGA DIVISION SOUTH,01,RUBAGA DIVISION,06,NATEETE,02,KIGAGGA [A -NAKAJ]-NEW POLICE BUILDING GROUND,1205
12294,12,KAMPALA,065,MAKINDYE DIVISION WEST,01,MAKINDYE DIVISION,13,SALAAMA,19,KOSOVO [A-NAKAS] AT LOVE WORKS CHURCH,1204
11982,12,KAMPALA,068,NAKAWA DIVISION EAST,01,NAKAWA DIVISION,13,MUTUNGO,08,MARKET PLACE (A-M),1204
11354,12,KAMPALA,062,KAWEMPE DIVISION NORTH,01,KAWEMPE DIVISION,04,KAWEMPE I,12,KETI-FALAWO MEETING GROUNDS (KIT-NAF),1204
11353,12,KAMPALA,062,KAWEMPE DIVISION NORTH,01,KAWEMPE DIVISION,04,KAWEMPE I,11,KAWEMPE MBOGO MUSLIM S.S.S. (NAKAY-NANTE),1204
11158,12,KAMPALA,064,MAKINDYE DIVISION EAST,01,MAKINDYE DIVISION,04,KABALAGALA,10,KIWAFU AT SIGN POST,1204
11001,12,KAMPALA,353,NAKAWA DIVISION WEST,01,NAKAWA DIVISION,04,BUKOTO II,14,KIGOOWA INFANTS SCHOOL[MUL-Z],1204
10992,12,KAMPALA,353,NAKAWA DIVISION WEST,01,NAKAWA DIVISION,04,BUKOTO II,05,KIGOOWA INFANTS SCHOOL[A-MUK],1203
